AccidentID,Date,Time,Local Authority ONS District,Latitude,Longitude,Sum of Accident Vehicle Count,CasualtyCount,Accident Severity
8739510,2022-01-23 00:00:00,13:00,County Durham,54.64598,'-1.648826,1,2,Fatal
8767589,2022-01-23 00:00:00,19:27,King's Lynn and West Norfolk,52.710858,0.410746,1,1,Fatal
8798770,2022-01-23 00:00:00,06:45,Cotswold,51.912157,'-1.731254,3,3,Fatal
8805102,2022-01-23 00:00:00,10:50,Carmarthenshire,51.734699,'-4.240648,2,1,Fatal
8706103,2022-01-24 00:00:00,09:01,Westminster,51.525757,'-0.197393,1,1,Fatal
8785854,2022-01-24 00:00:00,06:50,Dover,51.28056,1.290633,1,1,Fatal
8733214,2022-01-25 00:00:00,18:00,Trafford,53.387868,'-2.314924,3,2,Fatal
8763817,2022-01-25 00:00:00,18:35,Harborough,52.580367,'-0.94388,1,1,Fatal
8793595,2022-01-25 00:00:00,18:13,West Devon,50.653816,'-4.291568,2,1,Fatal
8805988,2022-01-25 00:00:00,18:21,West Lothian,55.976008,'-3.626379,1,1,Fatal
8806046,2022-01-25 00:00:00,17:19,Aberdeenshire,57.335435,'-2.054118,2,3,Fatal
8757463,2022-01-26 00:00:00,22:06,North Warwickshire,52.526276,'-1.710103,2,2,Fatal
8762257,2022-01-26 00:00:00,11:00,South Holland,52.773227,0.143188,1,1,Fatal
8776404,2022-01-26 00:00:00,10:07,Vale of White Horse,51.725324,'-1.25681,1,1,Fatal
8789942,2022-01-26 00:00:00,20:29,Mid Sussex,51.115853,'-0.135022,1,1,Fatal
8755848,2022-01-27 00:00:00,20:30,Wychavon,52.090595,'-1.933092,2,3,Fatal
8762259,2022-01-27 00:00:00,12:00,West Lindsey,53.264818,'-0.505422,1,1,Fatal
8765359,2022-01-27 00:00:00,14:30,North Northamptonshire,52.305793,'-0.699002,1,1,Fatal
8766133,2022-01-27 00:00:00,09:15,South Cambridgeshire,52.215869,0.216618,3,1,Fatal
8767607,2022-01-27 00:00:00,12:23,South Norfolk,52.587952,1.364808,5,1,Fatal
8776420,2022-01-27 00:00:00,04:30,Slough,51.492625,'-0.538345,1,1,Fatal
8803920,2022-01-27 00:00:00,15:13,Neath Port Talbot,51.661291,'-3.801378,1,1,Fatal
8806006,2022-01-27 00:00:00,07:00,Fife,56.359908,'-2.890169,1,1,Fatal
8737761,2022-01-28 00:00:00,13:43,Newcastle upon Tyne,54.968,'-1.572251,2,1,Fatal
8741590,2022-01-28 00:00:00,07:15,Leeds,53.72807,'-1.382359,2,1,Fatal
8762270,2022-01-28 00:00:00,21:45,Boston,52.918401,'-0.060517,2,2,Fatal
8763823,2022-01-28 00:00:00,12:56,Melton,52.764525,'-0.884594,1,1,Fatal
8770339,2022-01-28 00:00:00,05:50,Central Bedfordshire,51.993763,'-0.580242,1,1,Fatal
8796945,2022-01-28 00:00:00,09:50,South Gloucestershire,51.487621,'-2.505155,1,1,Fatal
8798783,2022-01-28 00:00:00,17:15,Forest of Dean,51.761908,'-2.611768,3,2,Fatal
8799734,2022-01-28 00:00:00,02:19,Wiltshire,51.177342,'-1.814295,1,1,Fatal
8802529,2022-01-28 00:00:00,21:21,Denbighshire,53.265499,'-3.455748,3,1,Fatal
8806027,2022-01-28 00:00:00,13:05,Aberdeenshire,57.504229,'-1.775707,1,1,Fatal
8779730,2022-01-29 00:00:00,22:31,Portsmouth,50.795756,'-1.102982,1,1,Fatal
8805240,2022-01-29 00:00:00,22:48,Ceredigion,52.071584,'-4.61862,2,1,Fatal
8806025,2022-01-29 00:00:00,07:45,South Lanarkshire,55.607743,'-3.842805,2,1,Fatal
8806034,2022-01-29 00:00:00,07:55,Aberdeenshire,57.148078,'-2.936667,1,1,Fatal
8731033,2022-01-30 00:00:00,14:55,Liverpool,53.40566,'-2.970468,1,1,Fatal
8762276,2022-01-30 00:00:00,12:15,East Lindsey,53.13683,'-0.034979,1,2,Fatal
8763881,2022-01-30 00:00:00,10:00,Blaby,52.52979,'-1.271022,2,1,Fatal
8771591,2022-01-30 00:00:00,05:26,St Albans,51.812483,'-0.415941,2,1,Fatal
8779741,2022-01-30 00:00:00,18:32,Winchester,50.883319,'-1.124374,1,1,Fatal
8779743,2022-01-30 00:00:00,23:32,Test Valley,51.121333,'-1.505581,1,1,Fatal
8789973,2022-01-30 00:00:00,10:00,Wealden,50.879223,0.232303,2,1,Fatal
8806039,2022-01-30 00:00:00,01:50,North Lanarkshire,55.835229,'-3.974038,2,1,Fatal
8773504,2022-01-31 00:00:00,17:41,Southend-on-Sea,51.549442,0.714742,3,1,Fatal
8776464,2022-01-31 00:00:00,17:53,Buckinghamshire,51.57471,'-0.578992,3,1,Fatal
8789988,2022-01-31 00:00:00,13:33,Horsham,51.065654,'-0.341492,1,1,Fatal
8797103,2022-01-31 00:00:00,00:06,North Somerset,51.425877,'-2.843943,4,1,Fatal
8799755,2022-01-31 00:00:00,20:24,Swindon,51.568701,'-1.753769,1,2,Fatal
8802533,2022-01-31 00:00:00,17:36,Denbighshire,52.979416,'-3.317944,2,1,Fatal
8760374,2022-02-01 00:00:00,07:52,Bassetlaw,53.284627,'-0.964309,1,1,Fatal
8793609,2022-02-01 00:00:00,04:49,East Devon,50.751096,'-3.456311,1,1,Fatal
8793612,2022-02-01 00:00:00,14:55,Cornwall,50.455724,'-4.564772,2,2,Fatal
8806062,2022-02-01 00:00:00,08:32,Scottish Borders,55.596596,'-2.728204,2,2,Fatal
8728413,2022-02-02 00:00:00,12:54,West Lancashire,53.537729,'-2.752689,2,2,Fatal
8733252,2022-02-02 00:00:00,19:40,Oldham,53.541097,'-2.103145,1,1,Fatal
8737782,2022-02-02 00:00:00,21:30,Northumberland,54.919371,'-1.916816,3,5,Fatal
8740153,2022-02-02 00:00:00,19:07,Ryedale,54.077927,'-0.822235,1,1,Fatal
8762284,2022-02-02 00:00:00,14:20,Boston,52.873706,'-0.097059,3,1,Fatal
8767661,2022-02-02 00:00:00,16:30,North Norfolk,52.861079,0.981592,1,1,Fatal
8785942,2022-02-02 00:00:00,08:20,Gravesham,51.433671,0.345038,1,1,Fatal
8785943,2022-02-02 00:00:00,07:13,Dover,51.158192,1.350445,3,1,Fatal
8803322,2022-02-02 00:00:00,21:05,Newport,51.570298,'-3.014638,2,2,Fatal
8727299,2022-02-03 00:00:00,14:16,South Lakeland,54.277486,'-3.046782,2,1,Fatal
8793982,2022-02-03 00:00:00,12:30,Cornwall,50.875659,'-4.484208,1,1,Fatal
8802539,2022-02-03 00:00:00,05:40,Flintshire,53.269598,'-3.219459,2,1,Fatal
8806122,2022-02-03 00:00:00,16:35,Falkirk,55.998842,'-3.722301,2,1,Fatal
8705926,2022-02-04 00:00:00,07:00,Enfield,51.618966,'-0.090128,3,2,Fatal
8705935,2022-02-04 00:00:00,08:56,Hackney,51.524332,'-0.080395,1,1,Fatal
8763842,2022-02-04 00:00:00,15:31,Hinckley and Bosworth,52.598891,'-1.477607,1,2,Fatal
8771619,2022-02-04 00:00:00,03:38,Welwyn Hatfield,51.751875,'-0.24482,2,3,Fatal
8806099,2022-02-04 00:00:00,20:10,Scottish Borders,55.525497,'-2.590631,1,1,Fatal
8706003,2022-02-05 00:00:00,13:43,Bromley,51.345872,0.124848,3,3,Fatal
8733276,2022-02-05 00:00:00,13:00,Bury,53.645311,'-2.319473,1,1,Fatal
8739538,2022-02-05 00:00:00,19:36,Darlington,54.517108,'-1.578163,1,1,Fatal
8745909,2022-02-05 00:00:00,10:24,Sheffield,53.407429,'-1.40261,4,1,Fatal
8790051,2022-02-05 00:00:00,10:40,Wealden,50.827091,0.352392,2,1,Fatal
8803384,2022-02-05 00:00:00,13:45,Newport,51.555499,'-3.051249,2,5,Fatal
8806110,2022-02-05 00:00:00,22:47,Glasgow City,55.862332,'-4.288956,1,1,Fatal
8755910,2022-02-06 00:00:00,19:10,Wychavon,52.274574,'-2.153623,2,1,Fatal
8773547,2022-02-06 00:00:00,13:42,Basildon,51.56415,0.506487,1,1,Fatal
8779796,2022-02-06 00:00:00,20:11,Havant,50.884251,'-1.006081,16,1,Fatal
8806112,2022-02-06 00:00:00,09:50,Highland,57.515298,'-4.293661,1,1,Fatal
8733295,2022-02-08 00:00:00,14:50,Salford,53.531572,'-2.400459,1,1,Fatal
8776533,2022-02-08 00:00:00,08:03,Cherwell,51.801795,'-1.274203,2,1,Fatal
8770350,2022-02-09 00:00:00,20:55,Central Bedfordshire,52.032616,'-0.629728,1,1,Fatal
8783259,2022-02-09 00:00:00,11:55,Guildford,51.24772,'-0.583719,4,3,Fatal
8790084,2022-02-09 00:00:00,17:43,Horsham,51.085153,'-0.284938,2,1,Fatal
8750328,2022-02-10 00:00:00,18:10,Walsall,52.564478,'-1.994661,1,1,Fatal
8750353,2022-02-10 00:00:00,19:00,Birmingham,52.451731,'-1.771393,1,1,Fatal
8755946,2022-02-10 00:00:00,01:15,Malvern Hills,52.119762,'-2.311774,1,1,Fatal
8769147,2022-02-10 00:00:00,06:52,West Suffolk,52.373673,0.673475,2,2,Fatal
8745919,2022-02-11 00:00:00,20:13,Rotherham,53.404693,'-1.259121,1,2,Fatal
8760422,2022-02-11 00:00:00,06:14,Bassetlaw,53.255491,'-0.924525,1,1,Fatal
8806158,2022-02-11 00:00:00,12:17,East Ayrshire,55.553039,'-4.403823,2,6,Fatal
8727341,2022-02-12 00:00:00,09:03,Eden,54.557905,'-2.437578,1,1,Fatal
8737824,2022-02-12 00:00:00,17:40,Sunderland,54.909495,'-1.382958,1,1,Fatal
8755951,2022-02-12 00:00:00,18:20,Telford and Wrekin,52.734123,'-2.420432,2,4,Fatal
8767640,2022-02-12 00:00:00,07:02,Norwich,52.635516,1.287835,1,1,Fatal
8727300,2022-02-13 00:00:00,05:50,Eden,54.610369,'-2.544259,3,1,Fatal
8740186,2022-02-13 00:00:00,19:31,Ryedale,54.117502,'-0.639738,1,1,Fatal
8758474,2022-02-13 00:00:00,02:50,Derbyshire Dales,53.069427,'-1.648476,1,3,Fatal
8762334,2022-02-13 00:00:00,10:15,South Kesteven,52.936438,'-0.641825,2,4,Fatal
8764007,2022-02-13 00:00:00,21:45,Harborough,52.576299,'-1.041742,1,2,Fatal
8801119,2022-02-13 00:00:00,17:34,"Bournemouth, Christchurch and Poole",50.723114,'-1.949585,2,1,Fatal
8804807,2022-02-13 00:00:00,03:03,Rhondda Cynon Taf,51.564939,'-3.420925,2,1,Fatal
8806184,2022-02-13 00:00:00,19:48,Falkirk,56.016018,'-3.879565,1,3,Fatal
8760540,2022-02-14 00:00:00,18:55,Bassetlaw,53.319577,'-0.942851,1,1,Fatal
8773604,2022-02-14 00:00:00,13:47,Tendring,51.923463,1.176534,2,2,Fatal
8779874,2022-02-14 00:00:00,20:41,Portsmouth,50.853824,'-1.070998,2,1,Fatal
8806190,2022-02-14 00:00:00,00:05,West Lothian,55.87524,'-3.624161,1,1,Fatal
8706579,2022-02-15 00:00:00,05:35,Ealing,51.524775,'-0.353263,1,1,Fatal
8750358,2022-02-15 00:00:00,21:01,Dudley,52.501122,'-2.12576,3,2,Fatal
8756132,2022-02-15 00:00:00,00:48,Shropshire,52.864443,'-2.497313,2,2,Fatal
8773612,2022-02-15 00:00:00,21:40,Basildon,51.582804,0.468235,1,1,Fatal
8802566,2022-02-15 00:00:00,17:25,Denbighshire,52.971647,'-3.394549,1,2,Fatal
8728411,2022-02-16 00:00:00,11:30,Fylde,53.780576,'-3.033916,4,3,Fatal
8796421,2022-02-16 00:00:00,19:49,Sedgemoor,51.114075,'-2.961953,2,1,Fatal
8741796,2022-02-17 00:00:00,00:05,Leeds,53.838101,'-1.619919,1,1,Fatal
8745937,2022-02-17 00:00:00,16:34,Doncaster,53.501913,'-1.122133,1,1,Fatal
8731119,2022-02-18 00:00:00,14:05,Sefton,53.494388,'-2.951586,1,1,Fatal
8770390,2022-02-18 00:00:00,17:30,Central Bedfordshire,52.004801,'-0.48607,2,1,Fatal
8779900,2022-02-18 00:00:00,11:49,East Hampshire,51.158738,'-0.979975,1,2,Fatal
8779901,2022-02-18 00:00:00,15:48,Basingstoke and Deane,51.241907,'-1.131681,1,1,Fatal
8804013,2022-02-18 00:00:00,20:31,Swansea,51.677337,'-3.946483,1,1,Fatal
8728436,2022-02-19 00:00:00,07:55,Blackburn with Darwen,53.651744,'-2.456275,2,5,Fatal
8773638,2022-02-19 00:00:00,22:33,Epping Forest,51.696604,0.132108,1,1,Fatal
8798834,2022-02-19 00:00:00,10:52,Forest of Dean,51.834687,'-2.511019,1,1,Fatal
8733340,2022-02-20 00:00:00,00:28,Manchester,53.408799,'-2.22058,1,2,Fatal
8741834,2022-02-20 00:00:00,16:10,Leeds,53.724485,'-1.562261,1,1,Fatal
8776634,2022-02-20 00:00:00,13:07,South Oxfordshire,51.755232,'-0.981257,2,3,Fatal
8803986,2022-02-20 00:00:00,07:21,Merthyr Tydfil,51.767439,'-3.389002,1,1,Fatal
8779918,2022-02-21 00:00:00,00:42,Fareham,50.858267,'-1.118663,1,1,Fatal
8779929,2022-02-21 00:00:00,23:25,Eastleigh,50.963109,'-1.38688,2,1,Fatal
8806276,2022-02-21 00:00:00,09:45,West Lothian,55.879451,'-3.759741,3,2,Fatal
8771684,2022-02-22 00:00:00,12:24,Hertsmere,51.640944,'-0.319576,1,1,Fatal
8797002,2022-02-22 00:00:00,17:05,"Bristol, City of",51.49252,'-2.604265,1,1,Fatal
8707002,2022-02-23 00:00:00,09:16,Enfield,51.614609,'-0.069497,1,2,Fatal
8740214,2022-02-23 00:00:00,18:09,Ryedale,54.060426,'-0.770906,2,2,Fatal
8736162,2022-02-24 00:00:00,20:40,Cheshire East,53.059617,'-2.473537,3,2,Fatal
8755301,2022-02-24 00:00:00,02:15,Staffordshire Moorlands,52.950465,'-1.924664,1,1,Fatal
8779949,2022-02-24 00:00:00,22:45,Isle of Wight,50.715522,'-1.304518,1,1,Fatal
8728473,2022-02-25 00:00:00,18:07,Blackpool,53.810823,'-3.036893,1,1,Fatal
8747969,2022-02-25 00:00:00,21:52,North Lincolnshire,53.653989,'-0.365358,1,1,Fatal
8783353,2022-02-25 00:00:00,15:55,Guildford,51.265079,'-0.538651,4,2,Fatal
8802588,2022-02-25 00:00:00,16:35,Isle of Anglesey,53.309701,'-4.35483,2,1,Fatal
8707252,2022-02-26 00:00:00,21:30,Greenwich,51.461829,0.026175,1,1,Fatal
8707253,2022-02-26 00:00:00,22:54,Barnet,51.611073,'-0.204804,2,1,Fatal
8755300,2022-02-26 00:00:00,05:14,Stafford,52.895576,'-2.182525,2,2,Fatal
8760491,2022-02-26 00:00:00,15:53,Newark and Sherwood,53.094712,'-1.06787,2,2,Fatal
8776666,2022-02-26 00:00:00,14:30,Windsor and Maidenhead,51.517385,'-0.720362,1,1,Fatal
8779969,2022-02-26 00:00:00,15:00,New Forest,50.917054,'-1.507463,1,1,Fatal
8786199,2022-02-26 00:00:00,15:30,Tonbridge and Malling,51.316602,0.296195,2,1,Fatal
8802591,2022-02-26 00:00:00,12:18,Flintshire,53.165844,'-3.031986,4,3,Fatal
8765360,2022-02-27 00:00:00,22:25,North Northamptonshire,52.255486,'-0.783001,2,2,Fatal
8771717,2022-02-27 00:00:00,17:22,North Hertfordshire,51.94576,'-0.107356,1,1,Fatal
8773683,2022-02-27 00:00:00,13:30,Epping Forest,51.658491,0.178292,5,1,Fatal
8793912,2022-02-27 00:00:00,13:05,Cornwall,50.223467,'-5.275019,2,1,Fatal
8798853,2022-02-27 00:00:00,01:15,Cotswold,51.742611,'-1.944496,1,1,Fatal
8727309,2022-02-28 00:00:00,11:18,Eden,54.638623,'-2.731985,2,5,Fatal
8757610,2022-02-28 00:00:00,07:20,North Warwickshire,52.473618,'-1.670728,3,1,Fatal
8766036,2022-02-28 00:00:00,17:02,West Northamptonshire,52.036351,'-0.896448,7,3,Fatal
8776682,2022-02-28 00:00:00,15:22,West Oxfordshire,51.941313,'-1.545967,1,1,Fatal
8707384,2022-03-01 00:00:00,10:08,Camden,51.517655,'-0.120068,2,1,Fatal
8776695,2022-03-01 00:00:00,14:37,Oxford,51.75003,'-1.243845,2,1,Fatal
8707460,2022-03-02 00:00:00,06:35,Greenwich,51.462301,0.06662,2,1,Fatal
8746027,2022-03-02 00:00:00,13:54,Rotherham,53.434482,'-1.355419,1,1,Fatal
8756024,2022-03-02 00:00:00,21:30,Wychavon,52.267662,'-2.225578,2,2,Fatal
8757527,2022-03-02 00:00:00,19:20,Nuneaton and Bedworth,52.47606,'-1.419434,1,1,Fatal
8802604,2022-03-02 00:00:00,19:30,Wrexham,53.00941,'-3.043199,1,1,Fatal
8763917,2022-03-03 00:00:00,22:24,Hinckley and Bosworth,52.662776,'-1.218318,2,1,Fatal
8790287,2022-03-03 00:00:00,01:04,Chichester,50.888625,'-0.746664,1,4,Fatal
8799866,2022-03-03 00:00:00,05:12,Wiltshire,51.462107,'-2.150313,2,1,Fatal
8751542,2022-03-04 00:00:00,01:30,Birmingham,52.404397,'-1.890081,2,3,Fatal
8762420,2022-03-04 00:00:00,23:13,East Lindsey,53.130115,0.287612,2,1,Fatal
8806386,2022-03-04 00:00:00,08:10,Orkney Islands,58.987724,'-3.270957,1,1,Fatal
8806389,2022-03-04 00:00:00,23:30,Glasgow City,55.825387,'-4.285923,1,1,Fatal
8806483,2022-03-04 00:00:00,04:15,Moray,57.616929,'-3.065765,2,1,Fatal
8750656,2022-03-05 00:00:00,14:48,Birmingham,52.512358,'-1.911738,2,1,Fatal
8786288,2022-03-05 00:00:00,03:05,Tonbridge and Malling,51.190548,0.288978,1,1,Fatal
8798871,2022-03-05 00:00:00,14:10,Cotswold,51.940922,'-1.728653,3,4,Fatal
8806397,2022-03-05 00:00:00,11:59,Glasgow City,55.822089,'-4.347402,1,2,Fatal
8806401,2022-03-05 00:00:00,23:45,Fife,56.062617,'-3.558694,3,1,Fatal
8758609,2022-03-06 00:00:00,13:45,High Peak,53.346382,'-1.815955,1,1,Fatal
